time,h_plus,h_cross,amplitude
1.610000000000e+00,1.304654515765e-22,2.975816595014e-19,2.975816881007e-19
1.620000000000e+00,1.304654515765e-22,2.975816596565e-19,2.975816882557e-19
1.630000000000e+00,1.304654515765e-22,2.975816598116e-19,2.975816884108e-19
1.640000000000e+00,1.304654515765e-22,2.975816599667e-19,2.975816885659e-19
1.650000000000e+00,1.304654263330e-22,2.975816601217e-19,2.975816887210e-19
1.660000000000e+00,1.304654263330e-22,2.975816602768e-19,2.975816888761e-19
1.670000000000e+00,1.304654263330e-22,2.975816604319e-19,2.975816890312e-19
1.680000000000e+00,1.304654263330e-22,2.975816605870e-19,2.975816891863e-19
1.690000000000e+00,1.304654263330e-22,2.975816607421e-19,2.975816893413e-19
1.700000000000e+00,1.304654515765e-22,2.975816608972e-19,2.975816894964e-19
1.710000000000e+00,1.304654515765e-22,2.975816610523e-19,2.975816896515e-19
1.720000000000e+00,1.304654515765e-22,2.975816612074e-19,2.975816898066e-19
1.730000000000e+00,1.304654515765e-22,2.975816613624e-19,2.975816899617e-19
1.740000000000e+00,1.304654515765e-22,2.975816615175e-19,2.975816901168e-19
1.750000000000e+00,1.304654515765e-22,2.975816616726e-19,2.975816902719e-19
1.760000000000e+00,1.304654515765e-22,2.975816618277e-19,2.975816904270e-19
1.770000000000e+00,1.304654515765e-22,2.975816619828e-19,2.975816905821e-19
1.780000000000e+00,1.304654515765e-22,2.975816621379e-19,2.975816907371e-19
1.790000000000e+00,1.304654515765e-22,2.975816622930e-19,2.975816908922e-19
1.800000000000e+00,1.304654515765e-22,2.975816624481e-19,2.975816910473e-19
1.810000000000e+00,1.304654515765e-22,2.975816626031e-19,2.975816912024e-19
1.820000000000e+00,1.304654515765e-22,2.975816627582e-19,2.975816913575e-19
1.830000000000e+00,1.304654515765e-22,2.975816629133e-19,2.975816915126e-19
1.840000000000e+00,1.304654515765e-22,2.975816630684e-19,2.975816916677e-19
1.850000000000e+00,1.304654515765e-22,2.975816632235e-19,2.975816918228e-19
1.860000000000e+00,1.304654515765e-22,2.975816633786e-19,2.975816919778e-19
1.870000000000e+00,1.304654515765e-22,2.975816635337e-19,2.975816921329e-19
1.880000000000e+00,1.304654515765e-22,2.975816636888e-19,2.975816922880e-19
1.890000000000e+00,1.304654515765e-22,2.975816638438e-19,2.975816924431e-19
1.900000000000e+00,1.304654515765e-22,2.975816639989e-19,2.975816925982e-19
1.910000000000e+00,1.304654515765e-22,2.975816641540e-19,2.975816927533e-19
1.920000000000e+00,1.304654515765e-22,2.975816643091e-19,2.975816929084e-19
1.930000000000e+00,1.304654515765e-22,2.975816644642e-19,2.975816930635e-19
